




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2021-11-16
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	upload_1 (6765)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of proteasomal protein catabolic process (GO:0061136)	184	116	56.61	+	2.05	4.07E-09	2.21E-07
positive regulation of cellular amide metabolic process (GO:0034250)	165	104	50.77	+	2.05	2.80E-08	1.40E-06
regulation of signal transduction by p53 class mediator (GO:1901796)	81	51	24.92	+	2.05	1.17E-04	2.94E-03
chromatin organization (GO:0006325)	521	328	160.29	+	2.05	2.00E-23	2.81E-21
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	105	66	32.31	+	2.04	1.12E-05	3.66E-04
regulation of protein ubiquitination (GO:0031396)	218	137	67.07	+	2.04	1.91E-10	1.21E-08
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	148	93	45.53	+	2.04	1.59E-07	7.12E-06
protein import (GO:0017038)	156	98	48.00	+	2.04	9.29E-08	4.31E-06
regulation of DNA repair (GO:0006282)	164	103	50.46	+	2.04	3.79E-08	1.84E-06
cellular protein catabolic process (GO:0044257)	642	403	197.52	+	2.04	2.11E-28	4.11E-26
protein polyubiquitination (GO:0000209)	231	145	71.07	+	2.04	5.52E-11	3.70E-09
regulation of response to endoplasmic reticulum stress (GO:1905897)	75	47	23.08	+	2.04	2.33E-04	5.39E-03
regulation of peptidyl-lysine acetylation (GO:2000756)	72	45	22.15	+	2.03	2.81E-04	6.30E-03
positive regulation of interferon-beta production (GO:0032728)	48	30	14.77	+	2.03	3.04E-03	4.79E-02
regulation of cell aging (GO:0090342)	48	30	14.77	+	2.03	3.04E-03	4.78E-02
proteolysis involved in cellular protein catabolic process (GO:0051603)	615	384	189.22	+	2.03	8.67E-27	1.52E-24
negative regulation of translation (GO:0017148)	165	103	50.77	+	2.03	4.23E-08	2.03E-06
cellular macromolecule catabolic process (GO:0044265)	820	511	252.29	+	2.03	2.98E-35	7.45E-33
regulation of DNA-templated transcription, initiation (GO:2000142)	61	38	18.77	+	2.02	1.18E-03	2.16E-02
post-Golgi vesicle-mediated transport (GO:0006892)	90	56	27.69	+	2.02	7.52E-05	2.01E-03
negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)	66	41	20.31	+	2.02	5.66E-04	1.17E-02
signal transduction in response to DNA damage (GO:0042770)	124	77	38.15	+	2.02	2.44E-06	8.91E-05
positive regulation of viral process (GO:0048524)	58	36	17.84	+	2.02	1.38E-03	2.43E-02
protein modification by small protein conjugation or removal (GO:0070647)	693	430	213.21	+	2.02	2.16E-29	4.47E-27
protein import into nucleus (GO:0006606)	108	67	33.23	+	2.02	1.42E-05	4.48E-04
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	100	62	30.77	+	2.02	2.48E-05	7.43E-04
protein autoubiquitination (GO:0051865)	71	44	21.84	+	2.01	3.81E-04	8.25E-03
regulation of gene expression, epigenetic (GO:0040029)	113	70	34.77	+	2.01	9.75E-06	3.21E-04
transcription, DNA-templated (GO:0006351)	331	205	101.84	+	2.01	1.49E-14	1.34E-12
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	176	109	54.15	+	2.01	3.06E-08	1.51E-06
mitotic DNA damage checkpoint signaling (GO:0044773)	76	47	23.38	+	2.01	2.58E-04	5.87E-03
RNA biosynthetic process (GO:0032774)	338	209	103.99	+	2.01	1.14E-14	1.03E-12
nucleic acid-templated transcription (GO:0097659)	332	205	102.15	+	2.01	2.24E-14	1.95E-12
vacuolar transport (GO:0007034)	149	92	45.84	+	2.01	3.60E-07	1.54E-05
vesicle-mediated transport to the plasma membrane (GO:0098876)	120	74	36.92	+	2.00	5.34E-06	1.83E-04
regulation of mRNA metabolic process (GO:1903311)	300	185	92.30	+	2.00	3.98E-13	3.22E-11
protein lipidation (GO:0006497)	86	53	26.46	+	2.00	1.19E-04	2.96E-03
regulation of cellular protein catabolic process (GO:1903362)	250	154	76.92	+	2.00	4.95E-11	3.35E-09
protein catabolic process (GO:0030163)	695	428	213.83	+	2.00	7.77E-29	1.57E-26
positive regulation of double-strand break repair (GO:2000781)	65	40	20.00	+	2.00	7.67E-04	1.51E-02
protein K48-linked ubiquitination (GO:0070936)	65	40	20.00	+	2.00	7.67E-04	1.51E-02
regulation of release of cytochrome c from mitochondria (GO:0090199)	52	32	16.00	+	2.00	2.79E-03	4.45E-02
negative regulation of mitochondrion organization (GO:0010823)	52	32	16.00	+	2.00	2.79E-03	4.45E-02
regulation of response to DNA damage stimulus (GO:2001020)	262	161	80.61	+	2.00	1.88E-11	1.36E-09
regulation of DNA replication (GO:0006275)	137	84	42.15	+	1.99	1.39E-06	5.36E-05
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	217	133	66.76	+	1.99	1.15E-09	6.86E-08
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	62	38	19.08	+	1.99	1.27E-03	2.29E-02
lysosomal transport (GO:0007041)	116	71	35.69	+	1.99	8.75E-06	2.91E-04
positive regulation of protein ubiquitination (GO:0031398)	126	77	38.77	+	1.99	4.03E-06	1.41E-04
vesicle budding from membrane (GO:0006900)	54	33	16.61	+	1.99	3.24E-03	4.99E-02
cellular response to virus (GO:0098586)	54	33	16.61	+	1.99	3.24E-03	4.98E-02
DNA damage checkpoint signaling (GO:0000077)	95	58	29.23	+	1.98	7.45E-05	1.99E-03
cytosolic transport (GO:0016482)	136	83	41.84	+	1.98	1.87E-06	7.05E-05
protein modification by small protein conjugation (GO:0032446)	554	338	170.45	+	1.98	2.22E-22	2.97E-20
intracellular protein transport (GO:0006886)	640	390	196.91	+	1.98	1.11E-25	1.79E-23
negative regulation of cell cycle G2/M phase transition (GO:1902750)	64	39	19.69	+	1.98	1.04E-03	1.94E-02
positive regulation of proteasomal protein catabolic process (GO:1901800)	110	67	33.84	+	1.98	2.40E-05	7.25E-04
nucleoside triphosphate metabolic process (GO:0009141)	92	56	28.31	+	1.98	8.95E-05	2.34E-03
positive regulation of mitochondrion organization (GO:0010822)	74	45	22.77	+	1.98	4.71E-04	9.92E-03
regulation of RNA splicing (GO:0043484)	163	99	50.15	+	1.97	2.27E-07	9.90E-06
regulation of protein acetylation (GO:1901983)	84	51	25.84	+	1.97	2.16E-04	5.08E-03
protein localization to organelle (GO:0033365)	681	413	209.52	+	1.97	7.61E-27	1.36E-24
negative regulation of mRNA metabolic process (GO:1903312)	94	57	28.92	+	1.97	1.00E-04	2.58E-03
negative regulation of cellular amide metabolic process (GO:0034249)	188	114	57.84	+	1.97	3.48E-08	1.70E-06
regulation of mRNA catabolic process (GO:0061013)	170	103	52.30	+	1.97	1.28E-07	5.82E-06
establishment of protein localization to membrane (GO:0090150)	208	126	63.99	+	1.97	5.42E-09	2.94E-07
lysosome organization (GO:0007040)	76	46	23.38	+	1.97	5.40E-04	1.12E-02
lytic vacuole organization (GO:0080171)	76	46	23.38	+	1.97	5.40E-04	1.12E-02
nucleobase-containing compound metabolic process (GO:0006139)	2230	1348	686.10	+	1.96	3.69E-92	4.16E-89
lipoprotein biosynthetic process (GO:0042158)	91	55	28.00	+	1.96	1.20E-04	2.99E-03
positive regulation of type I interferon production (GO:0032481)	68	41	20.92	+	1.96	9.44E-04	1.80E-02
cellular macromolecule biosynthetic process (GO:0034645)	1206	727	371.05	+	1.96	8.14E-47	3.29E-44
positive regulation of DNA recombination (GO:0045911)	73	44	22.46	+	1.96	6.36E-04	1.29E-02
chromatin remodeling (GO:0006338)	221	133	67.99	+	1.96	3.11E-09	1.73E-07
protein ubiquitination (GO:0016567)	507	305	155.99	+	1.96	1.14E-19	1.29E-17
response to endoplasmic reticulum stress (GO:0034976)	218	131	67.07	+	1.95	3.72E-09	2.03E-07
macromolecule catabolic process (GO:0009057)	916	550	281.82	+	1.95	6.61E-35	1.60E-32
positive regulation of response to DNA damage stimulus (GO:2001022)	150	90	46.15	+	1.95	1.17E-06	4.58E-05
mitotic DNA integrity checkpoint signaling (GO:0044774)	80	48	24.61	+	1.95	3.55E-04	7.77E-03
positive regulation of organelle assembly (GO:1902117)	85	51	26.15	+	1.95	2.39E-04	5.51E-03
regulation of mRNA stability (GO:0043488)	150	90	46.15	+	1.95	1.17E-06	4.57E-05
macromolecule biosynthetic process (GO:0009059)	1220	732	375.35	+	1.95	1.43E-46	5.51E-44
positive regulation of autophagy (GO:0010508)	150	90	46.15	+	1.95	1.17E-06	4.55E-05
cellular protein-containing complex assembly (GO:0034622)	698	418	214.75	+	1.95	2.40E-26	4.02E-24
positive regulation of cellular protein catabolic process (GO:1903364)	147	88	45.23	+	1.95	1.94E-06	7.27E-05
cellular nitrogen compound biosynthetic process (GO:0044271)	1113	666	342.43	+	1.94	4.80E-42	1.68E-39
protein targeting to membrane (GO:0006612)	87	52	26.77	+	1.94	2.67E-04	6.02E-03
negative regulation of response to DNA damage stimulus (GO:2001021)	77	46	23.69	+	1.94	5.79E-04	1.20E-02
negative regulation of cellular protein catabolic process (GO:1903363)	77	46	23.69	+	1.94	5.79E-04	1.19E-02
stress-activated protein kinase signaling cascade (GO:0031098)	67	40	20.61	+	1.94	1.27E-03	2.29E-02
protein localization to vacuole (GO:0072665)	62	37	19.08	+	1.94	1.89E-03	3.20E-02
ATP metabolic process (GO:0046034)	176	105	54.15	+	1.94	1.89E-07	8.31E-06
positive regulation of DNA metabolic process (GO:0051054)	260	155	79.99	+	1.94	2.09E-10	1.32E-08
regulation of RNA stability (GO:0043487)	163	97	50.15	+	1.93	6.65E-07	2.75E-05
negative regulation of chromosome organization (GO:2001251)	74	44	22.77	+	1.93	9.81E-04	1.85E-02
regulation of mitochondrion organization (GO:0010821)	138	82	42.46	+	1.93	4.48E-06	1.56E-04
DNA-dependent DNA replication (GO:0006261)	118	70	36.30	+	1.93	2.88E-05	8.46E-04
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	59	35	18.15	+	1.93	3.15E-03	4.90E-02
macromolecule methylation (GO:0043414)	236	140	72.61	+	1.93	2.07E-09	1.19E-07
organelle fusion (GO:0048284)	113	67	34.77	+	1.93	4.20E-05	1.17E-03
protein stabilization (GO:0050821)	191	113	58.76	+	1.92	8.69E-08	4.05E-06
cellular component disassembly (GO:0022411)	252	149	77.53	+	1.92	7.20E-10	4.40E-08
endosome to lysosome transport (GO:0008333)	61	36	18.77	+	1.92	2.55E-03	4.14E-02
heterocycle metabolic process (GO:0046483)	2364	1395	727.33	+	1.92	2.74E-90	2.88E-87
nucleobase-containing compound catabolic process (GO:0034655)	251	148	77.22	+	1.92	9.55E-10	5.77E-08
intracellular transport (GO:0046907)	1273	749	391.66	+	1.91	1.50E-45	5.61E-43
DNA integrity checkpoint signaling (GO:0031570)	102	60	31.38	+	1.91	1.21E-04	2.99E-03
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	126	74	38.77	+	1.91	1.72E-05	5.41E-04
protein N-linked glycosylation (GO:0006487)	63	37	19.38	+	1.91	2.87E-03	4.55E-02
positive regulation of dephosphorylation (GO:0035306)	63	37	19.38	+	1.91	2.87E-03	4.54E-02
regulation of double-strand break repair (GO:2000779)	109	64	33.54	+	1.91	6.67E-05	1.80E-03
regulation of double-strand break repair via homologous recombination (GO:0010569)	70	41	21.54	+	1.90	1.54E-03	2.69E-02
regulation of protein dephosphorylation (GO:0035304)	94	55	28.92	+	1.90	2.98E-04	6.63E-03
regulation of antigen receptor-mediated signaling pathway (GO:0050854)	65	38	20.00	+	1.90	2.30E-03	3.79E-02
protein transport (GO:0015031)	1110	648	341.51	+	1.90	2.35E-38	7.26E-36
response to ionizing radiation (GO:0010212)	132	77	40.61	+	1.90	1.73E-05	5.43E-04
negative regulation of autophagy (GO:0010507)	72	42	22.15	+	1.90	1.27E-03	2.29E-02
regulation of protein stability (GO:0031647)	309	180	95.07	+	1.89	3.53E-11	2.49E-09
DNA repair (GO:0006281)	450	262	138.45	+	1.89	9.19E-16	8.83E-14
regulation of interferon-beta production (GO:0032648)	67	39	20.61	+	1.89	2.60E-03	4.20E-02
cellular nitrogen compound metabolic process (GO:0034641)	2904	1690	893.47	+	1.89	4.13E-109	5.92E-106
regulation of mRNA splicing, via spliceosome (GO:0048024)	112	65	34.46	+	1.89	8.00E-05	2.11E-03
maintenance of location in cell (GO:0051651)	100	58	30.77	+	1.89	2.14E-04	5.03E-03
positive regulation of macroautophagy (GO:0016239)	76	44	23.38	+	1.88	1.14E-03	2.10E-02
cellular response to DNA damage stimulus (GO:0006974)	688	398	211.68	+	1.88	4.25E-23	5.82E-21
nucleobase-containing compound biosynthetic process (GO:0034654)	597	345	183.68	+	1.88	4.34E-20	5.06E-18
leukocyte homeostasis (GO:0001776)	97	56	29.84	+	1.88	2.58E-04	5.86E-03
purine ribonucleotide biosynthetic process (GO:0009152)	123	71	37.84	+	1.88	4.01E-05	1.13E-03
chromosome localization (GO:0050000)	78	45	24.00	+	1.88	1.26E-03	2.27E-02
generation of precursor metabolites and energy (GO:0006091)	302	174	92.92	+	1.87	1.27E-10	8.27E-09
organelle membrane fusion (GO:0090174)	92	53	28.31	+	1.87	3.83E-04	8.25E-03
nucleus organization (GO:0006997)	139	80	42.77	+	1.87	1.37E-05	4.38E-04
cellular aromatic compound metabolic process (GO:0006725)	2443	1403	751.63	+	1.87	1.03E-84	9.04E-82
protein-DNA complex subunit organization (GO:0071824)	190	109	58.46	+	1.86	4.56E-07	1.93E-05
positive regulation of cellular catabolic process (GO:0031331)	443	254	136.30	+	1.86	9.15E-15	8.34E-13
establishment of protein localization (GO:0045184)	1211	694	372.59	+	1.86	2.76E-39	8.69E-37
DNA replication (GO:0006260)	178	102	54.76	+	1.86	1.20E-06	4.65E-05
regulation of autophagy (GO:0010506)	281	161	86.45	+	1.86	1.06E-09	6.32E-08
regulation of type I interferon production (GO:0032479)	103	59	31.69	+	1.86	2.57E-04	5.86E-03
nucleosome organization (GO:0034728)	131	75	40.30	+	1.86	3.23E-05	9.40E-04
chromatin assembly or disassembly (GO:0006333)	145	83	44.61	+	1.86	1.36E-05	4.35E-04
viral process (GO:0016032)	166	95	51.07	+	1.86	3.17E-06	1.13E-04
organelle transport along microtubule (GO:0072384)	77	44	23.69	+	1.86	1.68E-03	2.88E-02
methylation (GO:0032259)	287	164	88.30	+	1.86	7.62E-10	4.64E-08
gene expression (GO:0010467)	2107	1201	648.26	+	1.85	1.36E-69	8.60E-67
positive regulation of DNA biosynthetic process (GO:2000573)	79	45	24.31	+	1.85	1.35E-03	2.40E-02
protein localization to chromosome (GO:0034502)	72	41	22.15	+	1.85	2.48E-03	4.04E-02
mitotic cell cycle checkpoint signaling (GO:0007093)	123	70	37.84	+	1.85	7.77E-05	2.07E-03
lipoprotein metabolic process (GO:0042157)	116	66	35.69	+	1.85	1.03E-04	2.62E-03
chromosome organization (GO:0051276)	842	479	259.06	+	1.85	1.72E-26	2.95E-24
heterocycle biosynthetic process (GO:0018130)	667	379	205.21	+	1.85	5.41E-21	6.82E-19
vesicle fusion (GO:0006906)	88	50	27.07	+	1.85	8.17E-04	1.59E-02
signal transduction by p53 class mediator (GO:0072331)	81	46	24.92	+	1.85	1.51E-03	2.64E-02
establishment of chromosome localization (GO:0051303)	76	43	23.38	+	1.84	2.22E-03	3.67E-02
regulation of DNA metabolic process (GO:0051052)	426	241	131.07	+	1.84	1.33E-13	1.10E-11
regulation of ATP-dependent activity (GO:0043462)	69	39	21.23	+	1.84	3.00E-03	4.73E-02
cellular nitrogen compound catabolic process (GO:0044270)	278	157	85.53	+	1.84	3.30E-09	1.82E-07
cellular amide metabolic process (GO:0043603)	723	407	222.44	+	1.83	5.83E-22	7.73E-20
regulation of DNA biosynthetic process (GO:2000278)	128	72	39.38	+	1.83	7.38E-05	1.98E-03
regulation of cellular catabolic process (GO:0031329)	786	442	241.83	+	1.83	9.11E-24	1.31E-21
cellular response to ionizing radiation (GO:0071479)	73	41	22.46	+	1.83	2.67E-03	4.29E-02
cell cycle checkpoint signaling (GO:0000075)	148	83	45.53	+	1.82	2.24E-05	6.84E-04
purine nucleotide biosynthetic process (GO:0006164)	132	74	40.61	+	1.82	6.62E-05	1.79E-03
heterocycle catabolic process (GO:0046700)	279	156	85.84	+	1.82	6.64E-09	3.53E-07
purine-containing compound biosynthetic process (GO:0072522)	138	77	42.46	+	1.81	4.81E-05	1.33E-03
positive regulation of catabolic process (GO:0009896)	511	285	157.22	+	1.81	2.77E-15	2.56E-13
cellular protein metabolic process (GO:0044267)	2999	1672	922.70	+	1.81	6.72E-96	8.15E-93
response to UV (GO:0009411)	149	83	45.84	+	1.81	2.41E-05	7.25E-04
fatty acid oxidation (GO:0019395)	79	44	24.31	+	1.81	2.64E-03	4.25E-02
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	79	44	24.31	+	1.81	2.64E-03	4.25E-02
response to topologically incorrect protein (GO:0035966)	124	69	38.15	+	1.81	1.17E-04	2.94E-03
spindle assembly (GO:0051225)	90	50	27.69	+	1.81	1.27E-03	2.29E-02
ribonucleotide biosynthetic process (GO:0009260)	135	75	41.54	+	1.81	7.79E-05	2.07E-03
regulation of ATP metabolic process (GO:1903578)	90	50	27.69	+	1.81	1.27E-03	2.28E-02
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	81	45	24.92	+	1.81	2.11E-03	3.50E-02
regulation of protein catabolic process (GO:0042176)	393	218	120.91	+	1.80	1.03E-11	7.52E-10
peptidyl-threonine phosphorylation (GO:0018107)	76	42	23.38	+	1.80	3.12E-03	4.86E-02
aromatic compound biosynthetic process (GO:0019438)	679	375	208.91	+	1.80	2.65E-19	2.99E-17
phosphatidylinositol biosynthetic process (GO:0006661)	96	53	29.54	+	1.79	9.18E-04	1.76E-02
positive regulation of mitotic cell cycle phase transition (GO:1901992)	96	53	29.54	+	1.79	9.18E-04	1.76E-02
chromatin assembly (GO:0031497)	127	70	39.07	+	1.79	1.36E-04	3.33E-03
regulation of mitotic cell cycle phase transition (GO:1901990)	305	168	93.84	+	1.79	3.77E-09	2.06E-07
double-strand break repair via homologous recombination (GO:0000724)	100	55	30.77	+	1.79	8.16E-04	1.59E-02
positive regulation of mitotic cell cycle (GO:0045931)	131	72	40.30	+	1.79	1.21E-04	2.99E-03
establishment of vesicle localization (GO:0051650)	142	78	43.69	+	1.79	6.02E-05	1.64E-03
regulation of dephosphorylation (GO:0035303)	133	73	40.92	+	1.78	1.33E-04	3.26E-03
ribose phosphate biosynthetic process (GO:0046390)	144	79	44.30	+	1.78	6.53E-05	1.77E-03
regulation of catabolic process (GO:0009894)	939	514	288.90	+	1.78	1.39E-25	2.22E-23
organic cyclic compound metabolic process (GO:1901360)	2677	1459	823.63	+	1.77	1.27E-76	9.50E-74
negative regulation of mitotic cell cycle phase transition (GO:1901991)	156	85	48.00	+	1.77	3.47E-05	1.00E-03
fatty acid catabolic process (GO:0009062)	81	44	24.92	+	1.77	2.98E-03	4.70E-02
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	116	63	35.69	+	1.77	3.84E-04	8.26E-03
cellular macromolecule metabolic process (GO:0044260)	4105	2229	1262.98	+	1.76	2.80E-127	6.31E-124
non-membrane-bounded organelle assembly (GO:0140694)	306	166	94.15	+	1.76	9.95E-09	5.14E-07
regulation of organelle assembly (GO:1902115)	212	115	65.23	+	1.76	1.99E-06	7.42E-05
DNA metabolic process (GO:0006259)	649	352	199.68	+	1.76	3.10E-17	3.22E-15
positive regulation of protein catabolic process (GO:0045732)	225	122	69.23	+	1.76	8.26E-07	3.38E-05
regulation of DNA recombination (GO:0000018)	131	71	40.30	+	1.76	2.25E-04	5.24E-03
protein-containing complex subunit organization (GO:0043933)	1233	668	379.35	+	1.76	2.58E-32	5.72E-30
regulation of immunoglobulin production (GO:0002637)	85	46	26.15	+	1.76	2.63E-03	4.24E-02
organonitrogen compound biosynthetic process (GO:1901566)	1109	600	341.20	+	1.76	8.34E-29	1.66E-26
intrinsic apoptotic signaling pathway (GO:0097193)	161	87	49.53	+	1.76	4.32E-05	1.21E-03
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	100	54	30.77	+	1.76	1.14E-03	2.10E-02
cellular response to UV (GO:0034644)	89	48	27.38	+	1.75	2.32E-03	3.82E-02
recombinational repair (GO:0000725)	102	55	31.38	+	1.75	1.24E-03	2.24E-02
B cell activation (GO:0042113)	193	104	59.38	+	1.75	6.93E-06	2.33E-04
cellular catabolic process (GO:0044248)	1558	839	479.35	+	1.75	3.38E-40	1.13E-37
regulation of nucleocytoplasmic transport (GO:0046822)	130	70	40.00	+	1.75	2.20E-04	5.15E-03
regulation of TOR signaling (GO:0032006)	106	57	32.61	+	1.75	1.10E-03	2.03E-02
negative regulation of cellular catabolic process (GO:0031330)	244	131	75.07	+	1.75	5.79E-07	2.42E-05
protein-containing complex assembly (GO:0065003)	1062	569	326.74	+	1.74	1.67E-26	2.90E-24
regulation of intracellular protein transport (GO:0033157)	226	121	69.53	+	1.74	1.56E-06	5.97E-05
positive regulation of apoptotic signaling pathway (GO:2001235)	157	84	48.30	+	1.74	6.65E-05	1.80E-03
maintenance of location (GO:0051235)	176	94	54.15	+	1.74	2.60E-05	7.74E-04
erythrocyte differentiation (GO:0030218)	103	55	31.69	+	1.74	1.31E-03	2.33E-02
organonitrogen compound catabolic process (GO:1901565)	984	525	302.75	+	1.73	3.69E-24	5.48E-22
spindle organization (GO:0007051)	150	80	46.15	+	1.73	1.18E-04	2.96E-03
aromatic compound catabolic process (GO:0019439)	302	161	92.92	+	1.73	3.73E-08	1.82E-06
peptidyl-amino acid modification (GO:0018193)	758	404	233.21	+	1.73	1.19E-18	1.31E-16
negative regulation of protein catabolic process (GO:0042177)	122	65	37.54	+	1.73	5.03E-04	1.05E-02
vesicle localization (GO:0051648)	154	82	47.38	+	1.73	1.05E-04	2.65E-03
regulation of cellular response to stress (GO:0080135)	705	375	216.91	+	1.73	2.55E-17	2.66E-15
regulation of chromosome segregation (GO:0051983)	94	50	28.92	+	1.73	2.19E-03	3.63E-02
regulation of cell cycle G2/M phase transition (GO:1902749)	111	59	34.15	+	1.73	1.02E-03	1.91E-02
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	143	76	44.00	+	1.73	2.13E-04	5.01E-03
nucleotide biosynthetic process (GO:0009165)	179	95	55.07	+	1.72	2.96E-05	8.67E-04
regulation of pattern recognition receptor signaling pathway (GO:0062207)	98	52	30.15	+	1.72	1.92E-03	3.25E-02
erythrocyte homeostasis (GO:0034101)	115	61	35.38	+	1.72	9.00E-04	1.73E-02
double-strand break repair (GO:0006302)	187	99	57.53	+	1.72	2.32E-05	7.05E-04
positive regulation of intracellular transport (GO:0032388)	187	99	57.53	+	1.72	2.32E-05	7.04E-04
cellular macromolecule localization (GO:0070727)	1370	725	421.50	+	1.72	1.15E-32	2.59E-30
cellular protein localization (GO:0034613)	1360	717	418.43	+	1.71	6.33E-32	1.38E-29
peptidyl-serine phosphorylation (GO:0018105)	184	97	56.61	+	1.71	2.77E-05	8.19E-04
phospholipid biosynthetic process (GO:0008654)	203	107	62.46	+	1.71	1.08E-05	3.54E-04
response to starvation (GO:0042594)	186	98	57.23	+	1.71	2.98E-05	8.72E-04
viral life cycle (GO:0019058)	112	59	34.46	+	1.71	1.08E-03	2.01E-02
cellular response to stress (GO:0033554)	1458	768	448.58	+	1.71	3.05E-34	7.18E-32
nitrogen compound transport (GO:0071705)	1480	779	455.35	+	1.71	1.22E-34	2.91E-32
response to hydrogen peroxide (GO:0042542)	95	50	29.23	+	1.71	3.04E-03	4.78E-02
cellular biosynthetic process (GO:0044249)	2037	1071	626.72	+	1.71	1.86E-48	8.64E-46
positive regulation of cell cycle phase transition (GO:1901989)	118	62	36.30	+	1.71	1.03E-03	1.93E-02
macromolecule modification (GO:0043412)	2524	1326	776.55	+	1.71	2.47E-61	1.44E-58
regulation of actin polymerization or depolymerization (GO:0008064)	166	87	51.07	+	1.70	9.79E-05	2.53E-03
regulation of actin filament polymerization (GO:0030833)	147	77	45.23	+	1.70	2.52E-04	5.77E-03
regulation of intracellular transport (GO:0032386)	338	177	103.99	+	1.70	2.25E-08	1.13E-06
response to oxidative stress (GO:0006979)	344	180	105.84	+	1.70	1.63E-08	8.33E-07
cellular protein modification process (GO:0006464)	2348	1227	722.40	+	1.70	2.44E-55	1.33E-52
protein modification process (GO:0036211)	2348	1227	722.40	+	1.70	2.44E-55	1.28E-52
regulation of cell cycle phase transition (GO:1901987)	395	206	121.53	+	1.70	1.81E-09	1.05E-07
negative regulation of cell cycle phase transition (GO:1901988)	217	113	66.76	+	1.69	1.08E-05	3.53E-04
regulation of apoptotic signaling pathway (GO:2001233)	400	208	123.07	+	1.69	1.69E-09	9.83E-08
vesicle organization (GO:0016050)	254	132	78.15	+	1.69	2.13E-06	7.84E-05
cellular response to oxidative stress (GO:0034599)	208	108	63.99	+	1.69	1.76E-05	5.51E-04
organic substance biosynthetic process (GO:1901576)	2113	1097	650.10	+	1.69	8.03E-48	3.62E-45
mitotic nuclear division (GO:0140014)	158	82	48.61	+	1.69	1.70E-04	4.10E-03
regulation of reactive oxygen species metabolic process (GO:2000377)	160	83	49.23	+	1.69	1.81E-04	4.35E-03
protein localization (GO:0008104)	1888	979	580.88	+	1.69	4.66E-42	1.67E-39
protein dephosphorylation (GO:0006470)	162	84	49.84	+	1.69	1.50E-04	3.64E-03
phosphatidylinositol metabolic process (GO:0046488)	141	73	43.38	+	1.68	4.68E-04	9.85E-03
establishment of localization in cell (GO:0051649)	1650	854	507.65	+	1.68	3.83E-36	1.04E-33
myeloid cell homeostasis (GO:0002262)	145	75	44.61	+	1.68	4.13E-04	8.78E-03
positive regulation of intracellular protein transport (GO:0090316)	145	75	44.61	+	1.68	4.13E-04	8.77E-03
negative regulation of apoptotic signaling pathway (GO:2001234)	240	124	73.84	+	1.68	4.97E-06	1.72E-04
positive regulation of production of molecular mediator of immune response (GO:0002702)	124	64	38.15	+	1.68	1.00E-03	1.89E-02
negative regulation of transferase activity (GO:0051348)	260	134	79.99	+	1.68	2.06E-06	7.63E-05
cell division (GO:0051301)	495	255	152.30	+	1.67	4.74E-11	3.22E-09
endomembrane system organization (GO:0010256)	466	240	143.37	+	1.67	1.89E-10	1.21E-08
regulation of actin filament length (GO:0030832)	169	87	52.00	+	1.67	1.48E-04	3.59E-03
B cell differentiation (GO:0030183)	136	70	41.84	+	1.67	6.79E-04	1.36E-02
T cell differentiation (GO:0030217)	181	93	55.69	+	1.67	1.01E-04	2.60E-03
mitotic cell cycle (GO:0000278)	545	280	167.68	+	1.67	6.52E-12	4.85E-10
nucleoside phosphate biosynthetic process (GO:1901293)	185	95	56.92	+	1.67	8.98E-05	2.35E-03
biosynthetic process (GO:0009058)	2178	1117	670.10	+	1.67	6.86E-47	2.85E-44
organic cyclic compound biosynthetic process (GO:1901362)	802	411	246.75	+	1.67	7.01E-17	7.18E-15
response to virus (GO:0009615)	287	147	88.30	+	1.66	8.39E-07	3.42E-05
cellular response to starvation (GO:0009267)	166	85	51.07	+	1.66	2.30E-04	5.33E-03
regulation of protein-containing complex assembly (GO:0043254)	428	219	131.68	+	1.66	2.13E-09	1.22E-07
myeloid cell differentiation (GO:0030099)	264	135	81.22	+	1.66	3.13E-06	1.12E-04
positive regulation of proteolysis (GO:0045862)	356	182	109.53	+	1.66	4.61E-08	2.19E-06
mitotic cell cycle process (GO:1903047)	476	243	146.45	+	1.66	2.75E-10	1.72E-08
