




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2021-11-16
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	upload_1 (8926)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of cellular protein catabolic process (GO:1903362)	250	177	101.49	+	1.74	2.48E-08	1.43E-06
mitotic cell cycle checkpoint signaling (GO:0007093)	123	87	49.93	+	1.74	9.16E-05	2.70E-03
nucleoside triphosphate metabolic process (GO:0009141)	92	65	37.35	+	1.74	7.56E-04	1.74E-02
chromatin remodeling (GO:0006338)	221	156	89.71	+	1.74	2.21E-07	1.12E-05
protein-containing complex disassembly (GO:0032984)	122	86	49.53	+	1.74	1.15E-04	3.24E-03
regulation of autophagy (GO:0010506)	281	198	114.07	+	1.74	4.21E-09	2.72E-07
endoplasmic reticulum organization (GO:0007029)	88	62	35.72	+	1.74	1.09E-03	2.32E-02
RNA biosynthetic process (GO:0032774)	338	238	137.21	+	1.73	1.18E-10	8.98E-09
signal transduction by p53 class mediator (GO:0072331)	81	57	32.88	+	1.73	1.80E-03	3.58E-02
regulation of signal transduction by p53 class mediator (GO:1901796)	81	57	32.88	+	1.73	1.80E-03	3.58E-02
positive regulation of histone modification (GO:0031058)	118	83	47.90	+	1.73	1.64E-04	4.54E-03
cellular response to topologically incorrect protein (GO:0035967)	91	64	36.94	+	1.73	9.52E-04	2.09E-02
cell cycle checkpoint signaling (GO:0000075)	148	104	60.08	+	1.73	2.53E-05	8.49E-04
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	148	104	60.08	+	1.73	2.53E-05	8.47E-04
regulation of protein acetylation (GO:1901983)	84	59	34.10	+	1.73	1.57E-03	3.19E-02
response to endoplasmic reticulum stress (GO:0034976)	218	153	88.50	+	1.73	3.33E-07	1.65E-05
negative regulation of cellular protein catabolic process (GO:1903363)	77	54	31.26	+	1.73	2.60E-03	4.85E-02
nucleobase-containing compound catabolic process (GO:0034655)	251	176	101.89	+	1.73	4.61E-08	2.56E-06
transcription, DNA-templated (GO:0006351)	331	232	134.37	+	1.73	3.32E-10	2.41E-08
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	100	70	40.59	+	1.72	6.39E-04	1.51E-02
Golgi organization (GO:0007030)	123	86	49.93	+	1.72	1.59E-04	4.41E-03
cellular aromatic compound metabolic process (GO:0006725)	2443	1708	991.73	+	1.72	3.09E-74	2.71E-71
nucleic acid-templated transcription (GO:0097659)	332	232	134.77	+	1.72	3.52E-10	2.53E-08
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	116	81	47.09	+	1.72	2.62E-04	6.86E-03
positive regulation of mitotic cell cycle phase transition (GO:1901992)	96	67	38.97	+	1.72	9.23E-04	2.03E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	1113	776	451.82	+	1.72	1.18E-31	3.27E-29
regulation of DNA metabolic process (GO:0051052)	426	297	172.93	+	1.72	1.25E-12	1.10E-10
establishment of protein localization to membrane (GO:0090150)	208	145	84.44	+	1.72	8.28E-07	3.87E-05
nucleobase-containing compound biosynthetic process (GO:0034654)	597	416	242.35	+	1.72	4.17E-17	4.95E-15
protein transport (GO:0015031)	1110	773	450.60	+	1.72	2.42E-31	6.47E-29
chromosome organization (GO:0051276)	842	586	341.81	+	1.71	9.26E-24	1.74E-21
regulation of DNA recombination (GO:0000018)	131	91	53.18	+	1.71	1.04E-04	3.03E-03
heterocycle biosynthetic process (GO:0018130)	667	463	270.77	+	1.71	8.79E-19	1.14E-16
regulation of mRNA catabolic process (GO:0061013)	170	118	69.01	+	1.71	1.08E-05	3.99E-04
response to topologically incorrect protein (GO:0035966)	124	86	50.34	+	1.71	1.70E-04	4.67E-03
cellular nitrogen compound metabolic process (GO:0034641)	2904	2014	1178.88	+	1.71	1.40E-87	1.70E-84
methylation (GO:0032259)	287	199	116.51	+	1.71	9.89E-09	6.02E-07
regulation of mRNA stability (GO:0043488)	150	104	60.89	+	1.71	3.73E-05	1.20E-03
regulation of RNA stability (GO:0043487)	163	113	66.17	+	1.71	1.76E-05	6.13E-04
regulation of protein stability (GO:0031647)	309	214	125.44	+	1.71	3.15E-09	2.08E-07
positive regulation of proteasomal protein catabolic process (GO:1901800)	110	76	44.65	+	1.70	4.56E-04	1.12E-02
nucleus organization (GO:0006997)	139	96	56.43	+	1.70	8.72E-05	2.58E-03
positive regulation of protein ubiquitination (GO:0031398)	126	87	51.15	+	1.70	1.86E-04	5.07E-03
peptidyl-threonine modification (GO:0018210)	84	58	34.10	+	1.70	2.13E-03	4.09E-02
purine-containing compound biosynthetic process (GO:0072522)	138	95	56.02	+	1.70	1.10E-04	3.16E-03
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	176	121	71.45	+	1.69	1.10E-05	4.07E-04
nucleotide biosynthetic process (GO:0009165)	179	123	72.66	+	1.69	9.65E-06	3.64E-04
positive regulation of cellular protein catabolic process (GO:1903364)	147	101	59.67	+	1.69	7.40E-05	2.24E-03
establishment of protein localization (GO:0045184)	1211	832	491.60	+	1.69	1.78E-32	5.11E-30
regulation of mRNA metabolic process (GO:1903311)	300	206	121.78	+	1.69	1.06E-08	6.37E-07
protein stabilization (GO:0050821)	191	131	77.54	+	1.69	5.67E-06	2.26E-04
generation of precursor metabolites and energy (GO:0006091)	302	207	122.60	+	1.69	1.16E-08	6.94E-07
positive regulation of cellular amide metabolic process (GO:0034250)	165	113	66.98	+	1.69	2.55E-05	8.51E-04
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	126	86	51.15	+	1.68	2.49E-04	6.55E-03
cellular protein-containing complex assembly (GO:0034622)	698	476	283.35	+	1.68	2.84E-18	3.50E-16
purine nucleotide biosynthetic process (GO:0006164)	132	90	53.59	+	1.68	1.90E-04	5.16E-03
phospholipid biosynthetic process (GO:0008654)	203	138	82.41	+	1.67	4.40E-06	1.79E-04
regulation of type I interferon production (GO:0032479)	103	70	41.81	+	1.67	1.31E-03	2.71E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991)	156	106	63.33	+	1.67	6.52E-05	2.01E-03
positive regulation of cellular catabolic process (GO:0031331)	443	301	179.84	+	1.67	8.19E-12	6.79E-10
regulation of organelle assembly (GO:1902115)	212	144	86.06	+	1.67	2.96E-06	1.25E-04
regulation of mitotic cell cycle phase transition (GO:1901990)	305	207	123.81	+	1.67	1.74E-08	1.02E-06
positive regulation of cell cycle phase transition (GO:1901989)	118	80	47.90	+	1.67	5.07E-04	1.23E-02
mitotic nuclear division (GO:0140014)	158	107	64.14	+	1.67	5.53E-05	1.72E-03
cellular protein metabolic process (GO:0044267)	2999	2028	1217.44	+	1.67	1.77E-81	1.86E-78
chromatin assembly or disassembly (GO:0006333)	145	98	58.86	+	1.66	1.18E-04	3.33E-03
regulation of cellular catabolic process (GO:0031329)	786	531	319.08	+	1.66	9.88E-20	1.33E-17
cell cycle phase transition (GO:0044770)	154	104	62.52	+	1.66	7.85E-05	2.36E-03
purine ribonucleotide biosynthetic process (GO:0009152)	123	83	49.93	+	1.66	4.83E-04	1.18E-02
aromatic compound biosynthetic process (GO:0019438)	679	458	275.64	+	1.66	5.23E-17	6.15E-15
ribonucleotide biosynthetic process (GO:0009260)	135	91	54.80	+	1.66	2.84E-04	7.41E-03
peptidyl-serine phosphorylation (GO:0018105)	184	124	74.69	+	1.66	2.07E-05	7.08E-04
spindle organization (GO:0007051)	150	101	60.89	+	1.66	1.12E-04	3.19E-03
regulation of mRNA processing (GO:0050684)	150	101	60.89	+	1.66	1.12E-04	3.18E-03
cellular nitrogen compound catabolic process (GO:0044270)	278	187	112.85	+	1.66	1.28E-07	6.74E-06
organelle fusion (GO:0048284)	113	76	45.87	+	1.66	9.06E-04	2.01E-02
positive regulation of mitotic cell cycle (GO:0045931)	131	88	53.18	+	1.65	3.13E-04	8.06E-03
glycerophospholipid biosynthetic process (GO:0046474)	155	104	62.92	+	1.65	1.06E-04	3.07E-03
intrinsic apoptotic signaling pathway (GO:0097193)	161	108	65.36	+	1.65	8.14E-05	2.43E-03
organophosphate biosynthetic process (GO:0090407)	415	278	168.47	+	1.65	1.63E-10	1.21E-08
organic cyclic compound metabolic process (GO:1901360)	2677	1793	1086.72	+	1.65	2.36E-68	1.77E-65
chromatin assembly (GO:0031497)	127	85	51.56	+	1.65	4.45E-04	1.10E-02
regulation of RNA splicing (GO:0043484)	163	109	66.17	+	1.65	6.90E-05	2.12E-03
protein-DNA complex subunit organization (GO:0071824)	190	127	77.13	+	1.65	2.06E-05	7.05E-04
cellular macromolecule metabolic process (GO:0044260)	4105	2742	1666.42	+	1.65	2.45E-113	3.86E-110
mitotic cell cycle (GO:0000278)	545	364	221.24	+	1.65	2.52E-13	2.41E-11
response to starvation (GO:0042594)	186	124	75.51	+	1.64	2.93E-05	9.59E-04
heterocycle catabolic process (GO:0046700)	279	186	113.26	+	1.64	2.23E-07	1.13E-05
ribose phosphate biosynthetic process (GO:0046390)	144	96	58.46	+	1.64	2.47E-04	6.50E-03
protein dephosphorylation (GO:0006470)	162	108	65.76	+	1.64	8.53E-05	2.54E-03
DNA recombination (GO:0006310)	216	144	87.68	+	1.64	5.97E-06	2.36E-04
regulation of protein catabolic process (GO:0042176)	393	262	159.54	+	1.64	8.61E-10	5.98E-08
organonitrogen compound biosynthetic process (GO:1901566)	1109	739	450.20	+	1.64	4.44E-26	9.58E-24
mitotic cell cycle process (GO:1903047)	476	317	193.23	+	1.64	1.19E-11	9.72E-10
nucleoside phosphate biosynthetic process (GO:1901293)	185	123	75.10	+	1.64	2.84E-05	9.36E-04
regulation of DNA biosynthetic process (GO:2000278)	128	85	51.96	+	1.64	6.01E-04	1.43E-02
lipoprotein metabolic process (GO:0042157)	116	77	47.09	+	1.64	1.04E-03	2.23E-02
peptidyl-amino acid modification (GO:0018193)	758	503	307.71	+	1.63	1.27E-17	1.52E-15
positive regulation of catabolic process (GO:0009896)	511	339	207.44	+	1.63	3.00E-12	2.57E-10
polyol metabolic process (GO:0019751)	101	67	41.00	+	1.63	2.07E-03	4.00E-02
cellular component disassembly (GO:0022411)	252	167	102.30	+	1.63	1.23E-06	5.58E-05
cellular response to starvation (GO:0009267)	166	110	67.39	+	1.63	1.01E-04	2.93E-03
regulation of catabolic process (GO:0009894)	939	622	381.19	+	1.63	1.51E-21	2.34E-19
dephosphorylation (GO:0016311)	225	149	91.34	+	1.63	5.19E-06	2.09E-04
erythrocyte differentiation (GO:0030218)	103	68	41.81	+	1.63	2.23E-03	4.26E-02
mitotic cell cycle phase transition (GO:0044772)	144	95	58.46	+	1.63	3.19E-04	8.18E-03
DNA conformation change (GO:0071103)	226	149	91.74	+	1.62	5.50E-06	2.20E-04
negative regulation of cell cycle phase transition (GO:1901988)	217	143	88.09	+	1.62	1.04E-05	3.85E-04
macromolecule modification (GO:0043412)	2524	1663	1024.61	+	1.62	2.81E-59	1.93E-56
cellular response to stress (GO:0033554)	1458	960	591.87	+	1.62	1.10E-32	3.21E-30
positive regulation of protein catabolic process (GO:0045732)	225	148	91.34	+	1.62	6.75E-06	2.65E-04
non-membrane-bounded organelle assembly (GO:0140694)	306	201	124.22	+	1.62	1.85E-07	9.49E-06
negative regulation of DNA metabolic process (GO:0051053)	131	86	53.18	+	1.62	6.81E-04	1.60E-02
nucleosome organization (GO:0034728)	131	86	53.18	+	1.62	6.81E-04	1.60E-02
regulation of cell cycle phase transition (GO:1901987)	395	259	160.35	+	1.62	3.29E-09	2.17E-07
cellular protein modification process (GO:0006464)	2348	1538	953.17	+	1.61	3.57E-53	2.09E-50
protein modification process (GO:0036211)	2348	1538	953.17	+	1.61	3.57E-53	2.01E-50
cellular biosynthetic process (GO:0044249)	2037	1334	826.92	+	1.61	2.11E-45	9.23E-43
cell division (GO:0051301)	495	323	200.94	+	1.61	4.18E-11	3.30E-09
erythrocyte homeostasis (GO:0034101)	115	75	46.68	+	1.61	1.68E-03	3.37E-02
gene expression (GO:0010467)	2107	1374	855.33	+	1.61	3.74E-46	1.73E-43
negative regulation of cellular catabolic process (GO:0031330)	244	159	99.05	+	1.61	5.16E-06	2.08E-04
nitrogen compound transport (GO:0071705)	1480	964	600.80	+	1.60	1.53E-31	4.17E-29
cellular response to nutrient levels (GO:0031669)	195	127	79.16	+	1.60	4.25E-05	1.34E-03
organic substance biosynthetic process (GO:1901576)	2113	1375	857.77	+	1.60	7.96E-46	3.59E-43
viral process (GO:0016032)	166	108	67.39	+	1.60	1.68E-04	4.63E-03
cellular amide metabolic process (GO:0043603)	723	470	293.50	+	1.60	1.83E-15	1.99E-13
cellular macromolecule localization (GO:0070727)	1370	888	556.15	+	1.60	1.70E-28	4.25E-26
establishment of vesicle localization (GO:0051650)	142	92	57.64	+	1.60	6.31E-04	1.50E-02
cellular catabolic process (GO:0044248)	1558	1009	632.47	+	1.60	1.97E-32	5.56E-30
negative regulation of protein catabolic process (GO:0042177)	122	79	49.53	+	1.60	1.70E-03	3.41E-02
cellular protein localization (GO:0034613)	1360	880	552.09	+	1.59	4.26E-28	1.03E-25
T cell differentiation (GO:0030217)	181	117	73.48	+	1.59	1.10E-04	3.17E-03
organonitrogen compound catabolic process (GO:1901565)	984	636	399.45	+	1.59	2.96E-20	4.24E-18
negative regulation of cell cycle process (GO:0010948)	260	168	105.55	+	1.59	3.53E-06	1.47E-04
regulation of nucleocytoplasmic transport (GO:0046822)	130	84	52.77	+	1.59	1.09E-03	2.33E-02
sister chromatid segregation (GO:0000819)	132	85	53.59	+	1.59	1.17E-03	2.47E-02
biosynthetic process (GO:0009058)	2178	1401	884.16	+	1.58	7.94E-45	3.38E-42
establishment of localization in cell (GO:0051649)	1650	1059	669.82	+	1.58	5.12E-33	1.52E-30
regulation of intracellular protein transport (GO:0033157)	226	145	91.74	+	1.58	2.39E-05	8.05E-04
transport along microtubule (GO:0010970)	159	102	64.55	+	1.58	4.42E-04	1.09E-02
organic cyclic compound biosynthetic process (GO:1901362)	802	513	325.57	+	1.58	7.77E-16	8.63E-14
apoptotic signaling pathway (GO:0097190)	280	179	113.67	+	1.57	2.76E-06	1.17E-04
negative regulation of transferase activity (GO:0051348)	260	166	105.55	+	1.57	7.23E-06	2.81E-04
vesicle organization (GO:0016050)	254	162	103.11	+	1.57	9.45E-06	3.57E-04
regulation of reactive oxygen species metabolic process (GO:2000377)	160	102	64.95	+	1.57	4.59E-04	1.12E-02
positive regulation of apoptotic signaling pathway (GO:2001235)	157	100	63.73	+	1.57	5.26E-04	1.27E-02
vesicle localization (GO:0051648)	154	98	62.52	+	1.57	6.04E-04	1.44E-02
positive regulation of intracellular transport (GO:0032388)	187	119	75.91	+	1.57	1.73E-04	4.73E-03
protein localization (GO:0008104)	1888	1201	766.43	+	1.57	1.90E-36	6.36E-34
aromatic compound catabolic process (GO:0019439)	302	192	122.60	+	1.57	1.80E-06	7.99E-05
glycerolipid biosynthetic process (GO:0045017)	181	115	73.48	+	1.57	2.26E-04	6.01E-03
myeloid cell homeostasis (GO:0002262)	145	92	58.86	+	1.56	9.14E-04	2.02E-02
protein-containing complex subunit organization (GO:0043933)	1233	781	500.53	+	1.56	5.04E-23	9.02E-21
cell cycle process (GO:0022402)	767	485	311.36	+	1.56	2.17E-14	2.13E-12
negative regulation of catabolic process (GO:0009895)	310	196	125.84	+	1.56	1.49E-06	6.68E-05
negative regulation of mitotic cell cycle (GO:0045930)	214	135	86.87	+	1.55	8.28E-05	2.47E-03
cellular metabolic process (GO:0044237)	6597	4151	2678.04	+	1.55	4.23E-164	6.67E-160
nitrogen compound metabolic process (GO:0006807)	5932	3724	2408.09	+	1.55	6.50E-138	2.56E-134
positive regulation of intracellular protein transport (GO:0090316)	145	91	58.86	+	1.55	1.45E-03	2.98E-02
carbohydrate derivative biosynthetic process (GO:1901137)	464	291	188.36	+	1.54	8.64E-09	5.34E-07
regulation of cellular response to stress (GO:0080135)	705	442	286.19	+	1.54	7.77E-13	7.20E-11
peptidyl-serine modification (GO:0018209)	209	131	84.84	+	1.54	1.14E-04	3.22E-03
regulation of actin filament polymerization (GO:0030833)	147	92	59.67	+	1.54	1.55E-03	3.15E-02
protein-containing complex assembly (GO:0065003)	1062	664	431.12	+	1.54	1.27E-18	1.62E-16
maintenance of location (GO:0051235)	176	110	71.45	+	1.54	4.90E-04	1.19E-02
negative regulation of organelle organization (GO:0010639)	349	218	141.68	+	1.54	8.24E-07	3.87E-05
regulation of intracellular transport (GO:0032386)	338	211	137.21	+	1.54	1.16E-06	5.31E-05
regulation of mitotic cell cycle (GO:0007346)	472	294	191.61	+	1.53	1.10E-08	6.64E-07
negative regulation of cell cycle (GO:0045786)	342	213	138.83	+	1.53	1.30E-06	5.87E-05
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	143	89	58.05	+	1.53	1.74E-03	3.47E-02
negative regulation of kinase activity (GO:0033673)	225	140	91.34	+	1.53	9.38E-05	2.75E-03
positive regulation of organelle organization (GO:0010638)	524	326	212.72	+	1.53	1.86E-09	1.26E-07
response to oxidative stress (GO:0006979)	344	214	139.65	+	1.53	1.39E-06	6.24E-05
nucleobase-containing small molecule metabolic process (GO:0055086)	431	268	174.96	+	1.53	5.83E-08	3.18E-06
cellular response to extracellular stimulus (GO:0031668)	227	141	92.15	+	1.53	9.97E-05	2.91E-03
regulation of actin polymerization or depolymerization (GO:0008064)	166	103	67.39	+	1.53	8.94E-04	1.99E-02
regulation of protein polymerization (GO:0032271)	208	129	84.44	+	1.53	2.15E-04	5.76E-03
positive regulation of binding (GO:0051099)	192	119	77.94	+	1.53	3.29E-04	8.41E-03
protein metabolic process (GO:0019538)	3574	2214	1450.86	+	1.53	1.47E-65	1.05E-62
cell cycle (GO:0007049)	1199	742	486.73	+	1.52	5.00E-20	7.04E-18
negative regulation of protein modification process (GO:0031400)	524	324	212.72	+	1.52	3.63E-09	2.35E-07
positive regulation of proteolysis (GO:0045862)	356	220	144.52	+	1.52	1.27E-06	5.75E-05
catabolic process (GO:0009056)	1792	1107	727.46	+	1.52	8.05E-30	2.08E-27
glycerophospholipid metabolic process (GO:0006650)	256	158	103.92	+	1.52	4.06E-05	1.29E-03
organelle organization (GO:0006996)	3195	1971	1297.01	+	1.52	3.93E-56	2.48E-53
regulation of protein-containing complex assembly (GO:0043254)	428	264	173.75	+	1.52	1.29E-07	6.77E-06
nucleoside phosphate metabolic process (GO:0006753)	381	235	154.67	+	1.52	5.71E-07	2.73E-05
protein glycosylation (GO:0006486)	180	111	73.07	+	1.52	6.95E-04	1.63E-02
macromolecule glycosylation (GO:0043413)	180	111	73.07	+	1.52	6.95E-04	1.62E-02
macromolecule metabolic process (GO:0043170)	5553	3420	2254.23	+	1.52	6.29E-113	9.02E-110
nucleotide metabolic process (GO:0009117)	372	229	151.01	+	1.52	8.55E-07	3.99E-05
regulation of actin filament length (GO:0030832)	169	104	68.61	+	1.52	9.85E-04	2.14E-02
chromosome segregation (GO:0007059)	278	171	112.85	+	1.52	2.54E-05	8.49E-04
Ras protein signal transduction (GO:0007265)	171	105	69.42	+	1.51	1.04E-03	2.23E-02
regulation of organelle organization (GO:0033043)	1149	705	466.44	+	1.51	2.11E-18	2.61E-16
apoptotic process (GO:0006915)	820	503	332.88	+	1.51	2.64E-13	2.50E-11
cellular localization (GO:0051641)	2315	1419	939.77	+	1.51	1.10E-37	3.93E-35
cellular response to radiation (GO:0071478)	173	106	70.23	+	1.51	1.10E-03	2.35E-02
cellular carbohydrate metabolic process (GO:0044262)	147	90	59.67	+	1.51	2.46E-03	4.62E-02
negative regulation of protein kinase activity (GO:0006469)	201	123	81.60	+	1.51	4.25E-04	1.05E-02
primary metabolic process (GO:0044238)	6486	3968	2632.98	+	1.51	6.58E-137	2.07E-133
positive regulation of endopeptidase activity (GO:0010950)	170	104	69.01	+	1.51	1.26E-03	2.63E-02
purine nucleotide metabolic process (GO:0006163)	293	179	118.94	+	1.50	2.04E-05	7.01E-04
organic substance catabolic process (GO:1901575)	1516	926	615.42	+	1.50	1.04E-23	1.93E-21
cellular response to oxidative stress (GO:0034599)	208	127	84.44	+	1.50	3.38E-04	8.61E-03
regulation of apoptotic signaling pathway (GO:2001233)	400	244	162.38	+	1.50	6.38E-07	3.03E-05
myeloid cell differentiation (GO:0030099)	264	161	107.17	+	1.50	6.29E-05	1.94E-03
positive regulation of protein-containing complex assembly (GO:0031334)	205	125	83.22	+	1.50	3.87E-04	9.75E-03
glycosylation (GO:0070085)	205	125	83.22	+	1.50	3.87E-04	9.74E-03
lymphocyte differentiation (GO:0030098)	302	184	122.60	+	1.50	1.71E-05	6.00E-04
organelle localization (GO:0051640)	496	302	201.35	+	1.50	3.41E-08	1.94E-06
organic cyclic compound catabolic process (GO:1901361)	327	199	132.75	+	1.50	9.38E-06	3.56E-04
ribose phosphate metabolic process (GO:0019693)	309	188	125.44	+	1.50	1.66E-05	5.88E-04
organophosphate metabolic process (GO:0019637)	761	463	308.93	+	1.50	6.11E-12	5.15E-10
macromolecule localization (GO:0033036)	2279	1383	925.16	+	1.49	3.74E-35	1.20E-32
homeostasis of number of cells (GO:0048872)	305	185	123.81	+	1.49	2.29E-05	7.77E-04
B cell activation (GO:0042113)	193	117	78.35	+	1.49	8.10E-04	1.85E-02
regulation of cell cycle process (GO:0010564)	688	417	279.29	+	1.49	1.16E-10	8.90E-09
ribonucleotide metabolic process (GO:0009259)	297	180	120.57	+	1.49	2.81E-05	9.30E-04
negative regulation of DNA-binding transcription factor activity (GO:0043433)	170	103	69.01	+	1.49	1.57E-03	3.19E-02
regulation of cell cycle (GO:0051726)	1040	630	422.19	+	1.49	1.31E-15	1.43E-13
endomembrane system organization (GO:0010256)	466	282	189.17	+	1.49	1.56E-07	8.11E-06
small GTPase mediated signal transduction (GO:0007264)	233	141	94.59	+	1.49	2.29E-04	6.07E-03
purine-containing compound metabolic process (GO:0072521)	314	190	127.47	+	1.49	1.90E-05	6.64E-04
protein autophosphorylation (GO:0046777)	200	121	81.19	+	1.49	6.40E-04	1.51E-02
phospholipid metabolic process (GO:0006644)	334	202	135.59	+	1.49	9.22E-06	3.51E-04
purine ribonucleotide metabolic process (GO:0009150)	278	168	112.85	+	1.49	6.01E-05	1.87E-03
regulation of viral process (GO:0050792)	166	100	67.39	+	1.48	2.17E-03	4.15E-02
programmed cell death (GO:0012501)	871	524	353.58	+	1.48	8.31E-13	7.66E-11
lymphocyte activation (GO:0046649)	463	278	187.95	+	1.48	3.33E-07	1.65E-05
localization within membrane (GO:0051668)	528	317	214.34	+	1.48	4.22E-08	2.37E-06
negative regulation of apoptotic signaling pathway (GO:2001234)	240	144	97.43	+	1.48	2.75E-04	7.20E-03
establishment of organelle localization (GO:0051656)	360	216	146.14	+	1.48	6.44E-06	2.54E-04
cytoskeleton-dependent intracellular transport (GO:0030705)	190	114	77.13	+	1.48	1.15E-03	2.42E-02
positive regulation of peptidase activity (GO:0010952)	180	108	73.07	+	1.48	1.66E-03	3.34E-02
negative regulation of intracellular signal transduction (GO:1902532)	534	320	216.78	+	1.48	4.01E-08	2.27E-06
cell death (GO:0008219)	910	545	369.41	+	1.48	5.10E-13	4.76E-11
DNA packaging (GO:0006323)	172	103	69.82	+	1.48	2.07E-03	3.99E-02
organonitrogen compound metabolic process (GO:1901564)	4492	2685	1823.52	+	1.47	1.04E-71	8.65E-69
lipid modification (GO:0030258)	169	101	68.61	+	1.47	2.36E-03	4.47E-02
cellular component biogenesis (GO:0044085)	2399	1426	973.87	+	1.46	3.42E-33	1.04E-30
cellular response to external stimulus (GO:0071496)	261	155	105.95	+	1.46	2.06E-04	5.54E-03
phosphate-containing compound metabolic process (GO:0006796)	1634	969	663.32	+	1.46	7.29E-22	1.15E-19
phosphorus metabolic process (GO:0006793)	1653	980	671.03	+	1.46	4.87E-22	7.84E-20
response to virus (GO:0009615)	287	170	116.51	+	1.46	1.14E-04	3.23E-03
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	191	113	77.54	+	1.46	1.78E-03	3.56E-02
cellular response to chemical stress (GO:0062197)	249	147	101.08	+	1.45	4.22E-04	1.05E-02
defense response to virus (GO:0051607)	226	133	91.74	+	1.45	8.16E-04	1.86E-02
glycoprotein biosynthetic process (GO:0009101)	233	137	94.59	+	1.45	6.49E-04	1.53E-02
negative regulation of phosphorylation (GO:0042326)	395	232	160.35	+	1.45	9.90E-06	3.70E-04
regulation of binding (GO:0051098)	394	231	159.94	+	1.44	1.18E-05	4.31E-04
defense response to symbiont (GO:0140546)	227	133	92.15	+	1.44	1.02E-03	2.21E-02
organic substance transport (GO:0071702)	1832	1072	743.70	+	1.44	7.99E-23	1.40E-20
organic substance metabolic process (GO:0071704)	7241	4228	2939.47	+	1.44	2.63E-123	4.60E-120
metabolic process (GO:0008152)	7675	4481	3115.66	+	1.44	1.14E-135	3.00E-132
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	209	122	84.84	+	1.44	1.82E-03	3.61E-02
mononuclear cell differentiation (GO:1903131)	343	200	139.24	+	1.44	5.74E-05	1.78E-03
negative regulation of protein phosphorylation (GO:0001933)	347	202	140.86	+	1.43	5.20E-05	1.63E-03
protein localization to membrane (GO:0072657)	463	269	187.95	+	1.43	3.57E-06	1.48E-04
negative regulation of phosphorus metabolic process (GO:0010563)	451	262	183.08	+	1.43	4.90E-06	1.99E-04
negative regulation of phosphate metabolic process (GO:0045936)	451	262	183.08	+	1.43	4.90E-06	1.99E-04
regulation of myeloid cell differentiation (GO:0045637)	217	126	88.09	+	1.43	1.79E-03	3.56E-02
protein localization to plasma membrane (GO:0072659)	207	120	84.03	+	1.43	2.12E-03	4.08E-02
cellular amino acid metabolic process (GO:0006520)	247	143	100.27	+	1.43	8.83E-04	1.98E-02
nuclear chromosome segregation (GO:0098813)	218	126	88.50	+	1.42	1.83E-03	3.62E-02
glycerolipid metabolic process (GO:0046486)	334	193	135.59	+	1.42	1.03E-04	2.99E-03
leukocyte differentiation (GO:0002521)	409	235	166.03	+	1.42	2.38E-05	8.07E-04
positive regulation of programmed cell death (GO:0043068)	617	354	250.47	+	1.41	2.09E-07	1.06E-05
carbohydrate derivative metabolic process (GO:1901135)	831	476	337.34	+	1.41	1.94E-09	1.31E-07
organelle fission (GO:0048285)	327	187	132.75	+	1.41	2.25E-04	5.99E-03
regulation of GTPase activity (GO:0043087)	345	197	140.05	+	1.41	1.54E-04	4.26E-03
positive regulation of apoptotic process (GO:0043065)	606	346	246.00	+	1.41	4.21E-07	2.03E-05
proteolysis (GO:0006508)	1182	674	479.83	+	1.40	8.80E-13	8.02E-11
hemopoiesis (GO:0030097)	705	402	286.19	+	1.40	5.08E-08	2.79E-06
regulation of cellular localization (GO:0060341)	857	488	347.90	+	1.40	1.85E-09	1.26E-07
regulation of cysteine-type endopeptidase activity (GO:2000116)	239	136	97.02	+	1.40	1.92E-03	3.76E-02
regulation of small GTPase mediated signal transduction (GO:0051056)	232	132	94.18	+	1.40	2.43E-03	4.58E-02
regulation of actin filament organization (GO:0110053)	276	157	112.04	+	1.40	9.05E-04	2.01E-02
regulation of hemopoiesis (GO:1903706)	393	223	159.54	+	1.40	7.49E-05	2.27E-03
phosphorylation (GO:0016310)	862	489	349.93	+	1.40	2.89E-09	1.94E-07
response to radiation (GO:0009314)	429	243	174.15	+	1.40	3.52E-05	1.14E-03
protein phosphorylation (GO:0006468)	688	389	279.29	+	1.39	1.85E-07	9.48E-06
organelle assembly (GO:0070925)	728	411	295.53	+	1.39	9.20E-08	4.90E-06
